2025-09-09 12:19:13.111 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:19:13.742 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:19:13.742 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:19:36.274 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:19:36.352 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:19:36.589 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:19:36.589 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:19:59.592 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:19:59.767 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:20:00.018 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:20:00.018 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:20:05.214 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:20:05.290 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 12:20:05.528 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:20:05.528 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 12:21:21.459 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 12:21:21.657 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
